api,bottom,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,interval,cum_oil_365,file_no,TD,Section,Latitude,Longitude,CTB,Well_Status_Date_year,Well_Status_Date_month,Well_Status_Date_day,treatment_date_year,treatment_date_month,treatment_date_day,Spud_Date_year,Spud_Date_month,Spud_Date_day,Well_Status_encod,Wellbore_encod,Range_encod,Township_encod,Current_Operator_encod,Original_Operator_encod,Lease_Name_encod,Lease_Number_encod,County_Name_encod,QQ_encod,Field_Name_encod,Produced_Pools_BAKKEN,Produced_Pools_BAKKEN/THREE FORKS,Produced_Pools_BIRDBEAR,Produced_Pools_DUPEROW,"Produced_Pools_DUPEROW,MADISON",Produced_Pools_LODGEPOLE,Produced_Pools_MADISON,"Produced_Pools_MADISON,TYLER",Produced_Pools_ORDOVICIAN,Produced_Pools_RED RIVER,Produced_Pools_SANISH,Produced_Pools_SPEARFISH,Produced_Pools_SPEARFISH/MADISON,Produced_Pools_THREE FORKS,Produced_Pools_TYLER
33061016810000,13986,19725,5,828450,228,3630,3630,5804,26.0,1660635,457,1,10356,3630,93615.0,20427,14230.0,29,47.87581575274286,-102.2313274928217,120427.0,2011,6,14,2011,6,13,2011,2,26,0,1,90,151,18,29,1052,3447,9,31,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016820000,18607,40738,4,1710996,206,8298,8298,7182,26.0,3291622,396,1,10309,8298,72279.0,20430,18627.0,29,48.487817214677285,-102.33828054866999,120430.0,2011,11,8,2011,11,4,2011,6,6,0,1,90,158,18,29,2644,3328,9,31,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016830000,18151,46083,5,1935486,225,8581,8581,6152,26.0,4123679,480,1,9570,8581,77487.0,20432,18571.0,20,48.489187644363355,-102.33825676274584,120432.0,2011,11,15,2011,11,12,2011,7,21,0,1,90,158,18,29,2644,3208,9,44,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016850000,19900,26463,2,1111446,117,9431,9431,7942,0.0,1121556,118,1,10469,9431,46376.0,20437,19900.0,33,48.11477227050306,-102.37644371175872,218298.0,2011,9,2,2011,8,30,2011,6,18,0,1,91,154,54,93,3042,3333,9,27,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016880000,18131,45732,5,1920744,220,8714,8714,6589,24.5,3734797,428,1,9417,8714,105253.0,20448,18406.0,18,48.41668987915365,-102.22814250103848,120448.0,2011,9,10,2011,9,8,2011,4,6,0,1,89,157,18,29,2397,2182,9,38,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016890000,20386,24092,2,1011864,98,10281,10281,0,0.0,1917240,186,1,10105,10281,209840.0,20451,20386.0,24,48.06575108109763,-102.32735430205702,220451.0,2011,7,12,2011,7,10,2011,4,29,0,1,91,153,54,93,2121,566,9,31,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016900000,19812,17725,1,744450,78,9425,9425,6853,0.0,1840320,195,1,10387,9425,59420.0,20452,19812.0,1,48.01729502904943,-102.40491412288601,216902.0,2011,9,30,2011,9,30,2011,4,19,0,1,92,152,54,93,1680,687,9,42,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016910000,19921,25394,2,1066548,115,309,9274,8216,41.4,1843580,198,30,10647,9274,119627.0,20466,19922.0,12,48.00377472782387,-102.51502357968741,218002.0,2012,2,16,2012,2,14,2011,5,29,0,1,93,152,54,93,2713,3176,9,25,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016920000,21300,23160,2,972720,101,9572,9572,7684,28.5,2331170,243,1,11728,9572,155328.0,20495,21300.0,4,47.93335886634422,-102.58533331962118,221436.0,2011,12,10,2011,12,10,2011,8,13,0,1,93,151,30,50,2294,2799,9,12,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016940000,19994,33683,3,1414686,145,9737,9737,6683,0.0,2683500,275,1,10257,9737,200205.0,20505,19994.0,28,48.13591609225094,-102.37595097888723,220505.0,2012,2,25,2012,2,25,2011,11,27,0,1,91,154,54,93,399,3232,9,25,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
