api,cum_gor_180,cum_gor_30,cum_gor_365,cum_gor_545,cum_gor_730,cum_gor_90,cum_oil_180,cum_oil_30,cum_oil_365,cum_oil_545,cum_oil_730,cum_oil_90,cum_water_180,cum_water_30,cum_water_365,cum_water_545,cum_water_730,cum_water_90,cum_wc_180,cum_wc_30,cum_wc_365,cum_wc_545,cum_wc_730,cum_wc_90
33013016900000,994.13,796.084,1002.417,,,899.782,23253.0,5187.0,42942.0,,,13942.0,82745.0,28860.0,144066.0,,,54034.0,78.063,84.765,77.037,,,79.49
33013016910000,926.741,979.122,1063.078,1138.446,,851.899,34576.0,3537.0,54409.0,68415.0,,16137.0,89283.0,30999.0,121705.0,154992.0,,58439.0,72.084,89.759,69.106,69.377,,78.362
33013016920000,744.543,1042.944,622.037,690.846,,889.873,51002.0,11391.0,94744.0,116931.0,,30336.0,46478.0,22129.0,74136.0,89125.0,,34873.0,47.68,66.017,43.899,43.253,,53.479
33013016930000,791.16,1136.783,707.433,708.818,,915.091,36032.0,2293.0,69772.0,93950.0,,17035.0,61988.0,24172.0,98969.0,125942.0,,43261.0,63.24,91.336,58.651,57.274,,71.748
33013016940000,1027.561,1725.899,898.391,980.148,,1276.68,22209.0,1919.0,44865.0,59656.0,,10756.0,59296.0,27503.0,93012.0,115505.0,,43297.0,72.751,93.478,67.46,65.942,,80.101
33013016950000,746.776,1044.543,724.611,776.292,,805.359,26609.0,3848.0,48227.0,61502.0,,14395.0,68659.0,31840.0,98610.0,121108.0,,51310.0,72.069,89.218,67.156,66.321,,78.091
33013016960000,779.889,1125.706,806.648,786.881,,943.274,36478.0,4768.0,66659.0,84470.0,,17818.0,81938.0,37820.0,116470.0,139523.0,,60651.0,69.195,88.804,63.6,62.289,,77.293
33013016990000,653.008,905.625,660.951,718.931,,708.578,26352.0,1214.0,48028.0,61349.0,,11614.0,59962.0,25499.0,88284.0,104853.0,,43467.0,69.47,95.455,64.766,63.088,,78.915
33013017000000,968.804,969.1,1037.361,,,884.144,34235.0,7314.0,53605.0,,,19645.0,61769.0,22568.0,87803.0,,,42002.0,64.34,75.524,62.092,,,68.133
33013017020000,,,,,,2440.373,,0.0,,,,1165.0,66105.0,155.0,214782.0,,,10397.0,,100.0,,,,89.924
33013017040000,822.18,931.831,749.972,,,792.213,34520.0,4645.0,56644.0,,,18312.0,76764.0,34359.0,102708.0,,,54474.0,68.98,88.091,64.454,,,74.841
33013017050000,1508.652,619.122,1190.655,,,960.822,24670.0,2243.0,43761.0,,,11310.0,72959.0,20099.0,106668.0,,,48677.0,74.731,89.961,70.909,,,81.146
33013017080000,1031.783,1405.265,892.117,824.801,,1216.194,28301.0,3406.0,50449.0,68075.0,,14783.0,85987.0,45444.0,118278.0,149562.0,,65908.0,75.237,93.028,70.1,68.721,,81.679
33013017090000,609.928,1191.199,736.363,,,692.998,35393.0,4466.0,65167.0,,,17596.0,80502.0,35530.0,115713.0,,,55512.0,69.461,88.834,63.972,,,75.931
33013017100000,454.973,617.37,688.873,,,538.171,4675.0,130.0,20643.0,,,1628.0,,,,,,,,,,,,
33013017110000,652.248,780.373,722.063,,,572.858,28264.0,1420.0,44975.0,,,15894.0,62607.0,16988.0,85217.0,,,40056.0,68.897,92.286,65.455,,,71.592
33013017120000,603.252,484.756,974.251,,,474.75,14283.0,2515.0,24791.0,,,6960.0,,,,,,,,,,,,
33013017130000,303.562,365.535,360.644,,,318.331,34223.0,5153.0,58792.0,,,15894.0,69691.0,37374.0,95574.0,,,51536.0,67.066,87.883,61.914,,,76.429
33013017140000,563.999,2009.805,568.247,,,687.028,29516.0,878.0,46105.0,,,12884.0,71694.0,25711.0,96589.0,,,49505.0,70.837,96.698,67.69,,,79.349
33013017160000,626.449,985.063,685.369,,,675.746,13873.0,316.0,29997.0,,,4285.0,54727.0,15624.0,90583.0,,,27223.0,79.777,98.018,75.123,,,86.4
33013017170000,1116.131,1113.849,,,,1063.811,71309.0,18813.0,,,,42397.0,53570.0,20865.0,,,,36400.0,42.898,52.586,,,,46.195
33013017180000,838.398,2176.106,1113.404,,,931.534,17580.0,1135.0,32133.0,,,8290.0,34174.0,3068.0,58089.0,,,18178.0,66.032,72.995,64.385,,,68.679
33013017190000,815.304,626.702,,,,866.029,38569.0,3988.0,,,,20701.0,41925.0,9661.0,,,,22513.0,52.085,70.782,,,,52.097
33013017200000,796.647,534.775,870.489,,,644.508,41986.0,6979.0,63237.0,,,25957.0,46886.0,6729.0,77533.0,,,28258.0,52.757,49.088,55.078,,,52.122
33013017210000,631.026,506.953,,,,549.109,40198.0,6594.0,,,,22755.0,42493.0,6880.0,,,,29424.0,51.388,51.061,,,,56.391
33013017220000,1165.795,1442.541,,,,1083.55,55939.0,5745.0,,,,33285.0,112869.0,29360.0,,,,71707.0,66.862,83.635,,,,68.298
33013017230000,1315.065,996.774,,,,1197.609,35332.0,10850.0,,,,26270.0,69481.0,29976.0,,,,52901.0,66.29,73.424,,,,66.819
33013017250000,760.481,420.434,,,,418.579,50745.0,8572.0,,,,35692.0,220131.0,51326.0,,,,144836.0,81.266,85.689,,,,80.229
33013017260000,906.71,994.437,,,,1048.209,50474.0,7759.0,,,,35375.0,200771.0,46755.0,,,,149757.0,79.91,85.767,,,,80.892
33013017270000,552.426,560.393,548.972,,,534.605,32638.0,3836.0,55552.0,,,14129.0,107021.0,45084.0,138798.0,,,79581.0,76.63,92.159,71.417,,,84.923
33013017280000,562.667,474.213,518.243,,,520.642,18595.0,704.0,36075.0,,,8185.0,42564.0,1195.0,75406.0,,,20214.0,69.596,62.928,67.64,,,71.179
33013017290000,975.615,1434.01,824.656,,,994.787,24036.0,1751.0,45623.0,,,9536.0,73626.0,27638.0,110266.0,,,45891.0,75.389,94.042,70.734,,,82.795
33013017300000,940.733,883.457,851.664,,,931.474,19208.0,7134.0,27932.0,,,11882.0,44453.0,14257.0,63536.0,,,29368.0,69.828,66.65,69.463,,,71.195
33013017310000,1169.807,963.269,,,,952.283,45891.0,9311.0,,,,27309.0,79589.0,22226.0,,,,50885.0,63.428,70.476,,,,65.075
33013017330000,1005.926,847.901,,,,937.769,34680.0,8623.0,,,,22676.0,75379.0,24560.0,,,,48807.0,68.49,74.014,,,,68.278
33013017340000,,193.705,,,,444.48,,9753.0,,,,28998.0,,36470.0,,,,55521.0,,78.9,,,,65.691
33013017360000,1174.854,973.516,,,,1124.0,48532.0,13847.0,,,,34558.0,66920.0,19734.0,,,,46041.0,57.963,58.765,,,,57.124
33013017370000,726.557,1025.157,,,,699.251,26614.0,4485.0,,,,15480.0,83752.0,37643.0,,,,63470.0,75.886,89.354,,,,80.393
33013017390000,,692.899,,,,803.309,,3708.0,,,,15755.0,,30727.0,,,,56222.0,,89.232,,,,78.111
33013017410000,949.308,840.251,,,,1040.269,20903.0,2872.0,,,,11803.0,56184.0,18758.0,,,,37630.0,72.884,86.722,,,,76.123
33013017420000,695.115,664.755,,,,878.563,24234.0,4238.0,,,,14101.0,61981.0,26270.0,,,,45380.0,71.891,86.109,,,,76.293
33013017430000,570.923,592.821,,,,443.593,26389.0,4207.0,,,,14851.0,66394.0,29420.0,,,,47539.0,71.558,87.489,,,,76.197
33013017440000,1050.063,1017.24,,,,952.148,45974.0,8765.0,,,,27477.0,72495.0,24389.0,,,,48311.0,61.193,73.563,,,,63.745
33013017450000,,805.33,,,,864.427,,9155.0,,,,34596.0,,51608.0,,,,124490.0,,84.933,,,,78.253
33013017460000,,425.442,,,,1197.835,,5888.0,,,,19673.0,,13537.0,,,,31417.0,,69.689,,,,61.493
33013017470000,,,,,,,,15025.0,,,,42235.0,,56864.0,,,,82339.0,,79.1,,,,66.096
33013017480000,,157.33,,,,359.749,,7072.0,,,,20281.0,,22941.0,,,,46631.0,,76.437,,,,69.69
33013017500000,819.028,833.198,,,,797.843,28965.0,5063.0,,,,14697.0,45580.0,12949.0,,,,27749.0,61.144,71.891,,,,65.375
33013017510000,1123.315,934.083,,,,1050.962,53249.0,14944.0,,,,34714.0,42141.0,16155.0,,,,29119.0,44.178,51.947,,,,45.617
33013017520000,1011.506,903.579,,,,972.863,36490.0,10993.0,,,,23628.0,62216.0,26004.0,,,,45153.0,63.032,70.287,,,,65.647
33013017530000,2718.01,2686.156,,,,3032.394,30371.0,720.0,,,,14764.0,40782.0,3463.0,,,,24292.0,57.316,82.787,,,,62.198
